label,mean_signed_shap,type,abs_shap
Sp_A_P15,-0.041289779182182726,spacer,0.041289779182182726
Sp_T_P19,-0.02805070091052215,spacer,0.02805070091052215
Tg_A_P15,0.027361098641971036,target,0.027361098641971036
Sp_A_P17,-0.02735597176422428,spacer,0.02735597176422428
Sp_A_P19,0.026941453121246205,spacer,0.026941453121246205
Sp_C_P21,-0.021971695427373754,spacer,0.021971695427373754
Sp_C_P14,-0.020954983278126317,spacer,0.020954983278126317
Sp_A_P16,0.02072411893998185,spacer,0.02072411893998185
Sp_C_P19,0.019784342460491145,spacer,0.019784342460491145
Sp_G_P16,-0.019701522723904515,spacer,0.019701522723904515
Sp_T_P18,-0.019549397086590994,spacer,0.019549397086590994
Sp_G_P13,-0.01881955898974127,spacer,0.01881955898974127
Sp_A_P21,-0.018078984480865617,spacer,0.018078984480865617
Sp_G_P19,-0.017994476374455743,spacer,0.017994476374455743
Sp_C_P20,0.01795262777980517,spacer,0.01795262777980517
Sp_A_P20,-0.017519057160010152,spacer,0.017519057160010152
Sp_G_P21,0.01724652937815368,spacer,0.01724652937815368
Sp_T_P17,-0.01704508762758341,spacer,0.01704508762758341
Sp_C_P18,0.015783687705894108,spacer,0.015783687705894108
Sp_C_P22,0.015569948799056243,spacer,0.015569948799056243
Sp_T_P8,-0.01533716808988669,spacer,0.01533716808988669
Sp_G_P7,-0.01512286783459025,spacer,0.01512286783459025
Sp_C_P17,0.01501231799671274,spacer,0.01501231799671274
Sp_T_P14,0.014871400740378833,spacer,0.014871400740378833
Sp_A_P7,0.01477404614847904,spacer,0.01477404614847904
Sp_A_P6,-0.014189689175840861,spacer,0.014189689175840861
Tg_A_P17,0.013438261053018844,target,0.013438261053018844
Sp_T_P21,0.013349947828245768,spacer,0.013349947828245768
Sp_A_P22,0.013089454976724781,spacer,0.013089454976724781
Sp_T_P22,-0.012938391991728856,spacer,0.012938391991728856
Sp_G_P20,-0.01273418751728267,spacer,0.01273418751728267
Tg_C_P21,0.012371373416135046,target,0.012371373416135046
Sp_G_P17,0.012340677915957308,spacer,0.012340677915957308
Sp_G_P11,-0.011972575368769554,spacer,0.011972575368769554
Tg_A_P19,-0.01169471295097767,target,0.01169471295097767
Sp_G_P23,0.011665821079025735,spacer,0.011665821079025735
Sp_T_P15,0.011032725081725007,spacer,0.011032725081725007
Sp_C_P24,-0.0107538921704595,spacer,0.0107538921704595
Sp_A_P23,-0.010635051647597904,spacer,0.010635051647597904
Sp_G_P15,0.010568279072677244,spacer,0.010568279072677244
Tg_C_P14,0.0100286652661282,target,0.0100286652661282
Tg_G_P13,0.009857703458008732,target,0.009857703458008732
Sp_C_P11,0.00981602538213376,spacer,0.00981602538213376
Tg_A_P16,-0.00967999026929669,target,0.00967999026929669
Sp_G_P24,0.009395801576762534,spacer,0.009395801576762534
Tg_A_P20,0.00935971074633451,target,0.00935971074633451
Tg_C_P17,-0.009143361360970876,target,0.009143361360970876
Sp_T_P16,0.008792242551455757,spacer,0.008792242551455757
Sp_G_P22,-0.008783203926905292,spacer,0.008783203926905292
Sp_T_P13,0.008418390176711886,spacer,0.008418390176711886
Sp_C_P12,0.007589916740364066,spacer,0.007589916740364066
Sp_T_P6,0.007500904742769941,spacer,0.007500904742769941
Sp_C_P23,-0.007396516258198184,spacer,0.007396516258198184
Sp_G_P12,-0.007164891915468168,spacer,0.007164891915468168
Tg_C_P22,-0.007012364580614645,target,0.007012364580614645
Sp_T_P9,0.00696766688663079,spacer,0.00696766688663079
Tg_C_P19,-0.006888356426104291,target,0.006888356426104291
Sp_C_P16,0.006750970238647838,spacer,0.006750970238647838
Sp_A_P9,0.006740926529309986,spacer,0.006740926529309986
Sp_A_P24,-0.006578742078375197,spacer,0.006578742078375197
Sp_A_P13,0.006547637232646345,spacer,0.006547637232646345
Sp_A_P14,0.006465034248299886,spacer,0.006465034248299886
Sp_A_P18,0.006206463206778572,spacer,0.006206463206778572
Tg_T_P16,0.006200183918078192,target,0.006200183918078192
Sp_G_P9,-0.006000986607657722,spacer,0.006000986607657722
Sp_C_P15,0.0059858799350508765,spacer,0.0059858799350508765
Sp_T_P24,0.005908623342411172,spacer,0.005908623342411172
Sp_T_P12,0.0052757194742312045,spacer,0.0052757194742312045
Tg_A_P21,0.005145168441119288,target,0.005145168441119288
Tg_C_P18,-0.0048723096445970945,target,0.0048723096445970945
Tg_A_P7,-0.004853598844338285,target,0.004853598844338285
Tg_C_P24,0.004789617098275344,target,0.004789617098275344
Tg_G_P23,0.004787291617700824,target,0.004787291617700824
Tg_C_P20,-0.0046230393504564675,target,0.0046230393504564675
Tg_A_P6,0.0045452338057543834,target,0.0045452338057543834
Sp_A_P8,0.004539348400851192,spacer,0.004539348400851192
Sp_C_P8,0.004509702370383918,spacer,0.004509702370383918
Tg_C_P27,-0.004476015844395813,target,0.004476015844395813
